Feature Set,Accuracy,Macro F1,Dropout Recall,Enrolled Recall,Graduate Recall
Day 1,0.5728813559322034,0.5497181118991629,0.5774647887323944,0.5220125786163522,0.5882352941176471
After Semester 1,0.6983050847457627,0.6584557052882122,0.6830985915492958,0.559748427672956,0.7579185520361991
Full Data,0.7254237288135593,0.6885166571592931,0.6795774647887324,0.6352201257861635,0.7873303167420814
